date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:24	27376/27376	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-6af0%22	https://themewagon.github.io/kider/img/classes-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-1.jpg	(from https://themewagon.github.io/kider/)
17:42:25	16162/16162	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-3f22%22	https://themewagon.github.io/kider/img/classes-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-2.jpg	(from https://themewagon.github.io/kider/)
17:42:26	26269/26269	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-669d%22	https://themewagon.github.io/kider/img/classes-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-3.jpg	(from https://themewagon.github.io/kider/)
17:42:27	32832/32832	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-8040%22	https://themewagon.github.io/kider/img/classes-4.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-4.jpg	(from https://themewagon.github.io/kider/)
17:42:28	22916/22916	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-5984%22	https://themewagon.github.io/kider/img/classes-5.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-5.jpg	(from https://themewagon.github.io/kider/)
17:42:29	14976/14976	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-3a80%22	https://themewagon.github.io/kider/img/classes-6.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/classes-6.jpg	(from https://themewagon.github.io/kider/)
17:42:30	52103/52103	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-cb87%22	https://themewagon.github.io/kider/img/appointment.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/appointment.jpg	(from https://themewagon.github.io/kider/)
17:42:31	29933/29933	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-74ed%22	https://themewagon.github.io/kider/img/team-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/team-1.jpg	(from https://themewagon.github.io/kider/)
17:42:32	22126/22126	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-566e%22	https://themewagon.github.io/kider/img/team-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/team-2.jpg	(from https://themewagon.github.io/kider/)
17:42:33	22124/22124	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-566c%22	https://themewagon.github.io/kider/img/team-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/team-3.jpg	(from https://themewagon.github.io/kider/)
17:42:34	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-d7b%22	https://themewagon.github.io/kider/img/testimonial-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/testimonial-1.jpg	(from https://themewagon.github.io/kider/)
17:42:35	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-dbd%22	https://themewagon.github.io/kider/img/testimonial-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/testimonial-2.jpg	(from https://themewagon.github.io/kider/)
17:42:36	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22639edd9b-bfa%22	https://themewagon.github.io/kider/img/testimonial-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/img/testimonial-3.jpg	(from https://themewagon.github.io/kider/)
17:42:38	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/kider/)
17:42:39	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639edd9b-1fdc%22	https://themewagon.github.io/kider/lib/wow/wow.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/lib/wow/wow.min.js	(from https://themewagon.github.io/kider/)
17:42:39	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/kider/)
17:42:40	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639edd9b-8fe%22	https://themewagon.github.io/kider/lib/easing/easing.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/lib/easing/easing.min.js	(from https://themewagon.github.io/kider/)
17:42:41	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639edd9b-2344%22	https://themewagon.github.io/kider/lib/waypoints/waypoints.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/kider/)
17:42:42	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639edd9b-a70e%22	https://themewagon.github.io/kider/lib/owlcarousel/owl.carousel.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/kider/)
17:42:43	1809/1809	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639edd9b-711%22	https://themewagon.github.io/kider/js/main.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Smart_School/kiter/themewagon.github.io/kider/js/main.js	(from https://themewagon.github.io/kider/)
17:42:45	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jan%202024%2022:42:44%20GMT	https://fonts.googleapis.com/robots.txt		(from https://themewagon.github.io/kider/)
